Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRF60,OUT027,3675.2
FDC09,OUT035,1289.6
FDF50,OUT018,3571.3
FDG28,OUT035,3920.2
NCE19,OUT017,2597.2
NCM53,OUT010,369.51
NCN18,OUT049,1245
FDF32,OUT035,3559.3
FDF11,OUT013,2403.5
DRI59,OUT049,3001.4
NCG54,OUT035,2257
FDM44,OUT046,1289.6
FDT57,OUT018,6636.6
FDV24,OUT046,2106.5
FDI50,OUT019,459.4
FDS09,OUT035,759.01
NCC31,OUT027,3281
FDQ07,OUT019,219.04
FDC22,OUT017,2703.1
FDZ56,OUT046,3238.4
FDZ40,OUT019,191.75
FDS46,OUT027,1687.1
DRD24,OUT045,2978.1
FDV45,OUT017,2816.3
FDL26,OUT045,2247
FDA56,OUT018,602.54
FDN27,OUT046,1523.3
FDM20,OUT049,6615.3
FDO16,OUT017,3079.3
FDL03,OUT035,3142.5
FDE58,OUT046,2370.2
FDI02,OUT027,3150.5
NCC55,OUT019,37.95
FDR03,OUT018,5366.3
FDB14,OUT017,1304.9
FDR45,OUT013,6692.6
NCN07,OUT017,1845.5
FDM51,OUT019,203.73
FDT52,OUT027,8217.3
FDL26,OUT046,2247
NCZ42,OUT046,5451.5
DRI47,OUT019,431.43
FDW40,OUT013,2247.7
FDN34,OUT046,3435.5
FDS01,OUT035,1244.3
NCG55,OUT045,2633.9
FDC11,OUT035,796.96
FDX35,OUT018,4098.6
NCB06,OUT046,2247
FDR09,OUT019,1314.9
FDC53,OUT017,1342.2
FDY45,OUT013,5757.8
FDA22,OUT010,308.93
FDE02,OUT035,1418.1
FDW21,OUT045,1709.1
FDV34,OUT046,801.62
FDS59,OUT049,2966.1
NCW17,OUT017,3083.9
NCK54,OUT046,703.08
FDG17,OUT019,687.1
FDG35,OUT017,2954.1
FDD08,OUT010,39.948
NCO07,OUT017,5752.5
FDJ10,OUT010,495.35
FDW36,OUT017,509.33
FDW21,OUT010,103.19
FDY19,OUT017,2239
DRE03,OUT013,2187.1
NCC55,OUT049,769.66
FDH52,OUT010,123.83
FDO09,OUT017,6048.7
FDU43,OUT045,2908.2
FDX09,OUT010,176.43
FDH40,OUT019,165.11
FDW58,OUT017,2153.1
FDC47,OUT017,5937.6
NCR41,OUT035,1821.6
DRG49,OUT035,663.13
FDC52,OUT027,4374.3
FDY13,OUT046,2512.7
FDY35,OUT013,1323.6
FDI35,OUT017,3259.7
NCU18,OUT049,1418.1
FDY33,OUT018,2659.8
FDC15,OUT027,4436.8
FDU01,OUT049,567.26
NCU42,OUT046,4211.1
NCV29,OUT018,3022
NCY30,OUT017,3078.6
FDQ46,OUT049,1697.7
FDG58,OUT027,2972.7
FDK33,OUT017,2556.6
NCD07,OUT045,341.55
NCX29,OUT027,4228.4
NCT42,OUT013,2684.5
DRN59,OUT035,1304.9
FDI44,OUT035,1288.9
FDA45,OUT049,2999.4
FDP31,OUT045,2237
FDY01,OUT046,1540.6
FDT09,OUT018,2936.1
DRH03,OUT027,2956.1
FDA36,OUT018,2591.2
NCF31,OUT017,1821.6
FDG14,OUT049,4402.2
FDG28,OUT027,5466.8
FDU14,OUT049,4993.5
FDY47,OUT019,260.99
FDI56,OUT049,1459.4
DRD01,OUT013,607.87
FDM22,OUT046,3112.6
FDH33,OUT013,918.8
DRZ24,OUT013,3115.9
NCQ38,OUT046,2024
FDO16,OUT027,2348.9
FDU07,OUT027,3339.6
NCB07,OUT013,2876.2
FDU48,OUT045,1701.7
NCM43,OUT045,2120.5
FDR31,OUT010,143.14
DRK49,OUT018,1380.8
NCI30,OUT010,884.18
DRD60,OUT017,6157.3
NCG19,OUT046,1556.6
FDH12,OUT035,2876.2
FDM32,OUT035,1771
FDM27,OUT035,1577.9
NCU53,OUT027,2302.3
NCQ18,OUT046,2496.7
FDS10,OUT013,2479.4
FDB33,OUT027,3825.6
FDI12,OUT013,1845.5
NCW42,OUT013,5369
NCC06,OUT018,2812.3
FDW02,OUT017,3880.2
NCD43,OUT017,509.33
FDM57,OUT018,982.72
FDA58,OUT017,4242.4
FDK56,OUT046,5238.5
FDP52,OUT045,5642.6
FDW20,OUT018,2956.1
FDS52,OUT049,1398.1
NCT29,OUT018,2059.9
NCL54,OUT013,5888.3
FDC05,OUT045,1970.7
FDF34,OUT035,4364.9
FDP03,OUT027,3552.7
FDD32,OUT010,175.77
FDZ10,OUT045,2936.1
FDZ40,OUT035,1024.6
FDD51,OUT018,905.48
NCY30,OUT019,716.4
FDP58,OUT017,4848.3
FDV49,OUT017,4757.8
FDY24,OUT019,272.97
NCO55,OUT017,2143.8
FDR13,OUT017,810.94
FDS51,OUT017,1661.8
FDP26,OUT045,2876.2
NCB54,OUT027,3179.1
FDF32,OUT017,2182.4
FDN31,OUT018,2656.5
DRM48,OUT017,559.27
FDN20,OUT049,3523.4
DRL01,OUT046,1612.5
FDV56,OUT049,1186.4
DRH13,OUT027,3199.1
FDA03,OUT017,5591.3
FDF47,OUT027,6976.2
FDX32,OUT046,1589.2
FDX57,OUT049,1846.9
NCA30,OUT045,1890.8
FDO49,OUT013,1518
FDL04,OUT019,101.2
DRM48,OUT035,559.27
FDR16,OUT013,7266.5
NCC19,OUT018,4649.9
NCE42,OUT045,3575.3
FDY24,OUT017,3112.6
FDH19,OUT049,521.32
FDJ46,OUT013,4483.4
FDN45,OUT010,913.47
FDY08,OUT035,1685.8
FDZ37,OUT035,1384.8
NCT30,OUT045,1069.2
DRY23,OUT018,809.61
NCZ30,OUT018,602.54
FDC44,OUT018,1821.6
FDB45,OUT035,2299.6
FDY04,OUT013,1808.9
FDM27,OUT046,2808.3
FDZ43,OUT017,2908.2
FDT39,OUT019,495.35
NCC06,OUT019,253
FDL15,OUT027,2947.4
FDL57,OUT017,4908.2
FDU08,OUT046,2396.8
FDK40,OUT017,3681.8
FDQ12,OUT010,689.1
FDS48,OUT017,1504.7
FDP09,OUT045,4701.8
FDW21,OUT049,607.2
FDY25,OUT035,2181.1
DRE13,OUT017,852.22
FDV43,OUT019,109.85
FDD22,OUT045,1901.5
FDM46,OUT019,567.26
NCO30,OUT010,183.76
FDM25,OUT046,2616.5
NCN41,OUT049,857.55
FDU24,OUT045,1025.3
FDZ50,OUT046,3101.2
FDP45,OUT013,2543.3
NCM54,OUT045,1867.5
FDW10,OUT019,176.43
FDP20,OUT017,3983.4
FDK32,OUT046,4082.6
FDN52,OUT049,852.22
FDM58,OUT045,1677.8
FDZ46,OUT027,4250.4
NCA18,OUT018,1621.8
FDD35,OUT046,2885.5
NCK31,OUT035,1034.6
FDI40,OUT027,2596.6
FDT50,OUT019,198.4
NCT06,OUT046,4807.7
FDT31,OUT035,3781.7
FDT45,OUT049,1209.7
FDT13,OUT045,2816.3
FDO50,OUT045,1929.4
NCU18,OUT010,254.33
NCR54,OUT049,2721.7
NCO18,OUT018,2666.5
FDU09,OUT045,973.39
FDT13,OUT018,2816.3
FDE09,OUT046,994.7
NCK53,OUT019,103.19
FDG45,OUT049,4687.2
DRH15,OUT035,809.61
FDO21,OUT019,451.41
FDD14,OUT027,6431.6
FDC09,OUT046,1289.6
FDH45,OUT027,809.61
FDV32,OUT046,2306.9
FDG12,OUT035,964.07
FDS32,OUT013,1404.8
NCL55,OUT018,5060
DRE01,OUT035,5331.7
DRE15,OUT049,2278.3
NCL42,OUT045,6615.3
FDP31,OUT013,2291
FDN33,OUT018,283.63
FDZ59,OUT046,1794.3
FDE45,OUT010,716.4
FDJ07,OUT013,1549.3
FDQ45,OUT018,4042.7
FDM33,OUT027,5695.2
FDO15,OUT010,127.83
FDM46,OUT013,856.88
FDR03,OUT045,5366.3
FDY49,OUT018,4769.1
FDQ60,OUT045,361.52
FDW10,OUT049,3123.9
FDO51,OUT049,1107.8
FDJ40,OUT018,299.61
FDS20,OUT018,4925.5
FDU45,OUT013,2908.2
FDV02,OUT035,2005.3
FDN09,OUT046,5005.4
NCM55,OUT027,3235.7
FDN23,OUT018,3323
FDY31,OUT010,449.41
FDW03,OUT010,103.19
FDD14,OUT046,4426.2
FDV23,OUT017,3560.6
DRI03,OUT045,4250.4
FDN13,OUT035,809.61
FDF45,OUT027,1733.7
FDU46,OUT035,1211.7
FDB57,OUT049,3113.2
FDV12,OUT049,3013.4
FDQ58,OUT013,459.4
NCA18,OUT017,1621.8
FDH52,OUT049,1534
FDM24,OUT018,4454.2
NCP43,OUT027,3056
NCO18,OUT019,525.31
FDM32,OUT017,181.09
NCL07,OUT017,759.01
FDK03,OUT013,2013.3
FDP59,OUT017,2285
FDQ24,OUT049,1845.5
FDQ16,OUT018,894.83
FDU44,OUT013,2406.8
FDH28,OUT010,37.95
FDV28,OUT019,135.82
FDM22,OUT045,3002.7
FDR56,OUT046,3874.9
FDV39,OUT049,3327.6
FDU37,OUT019,399.48
FDQ11,OUT010,788.97
FDX02,OUT045,4950.8
NCS42,OUT018,2006.7
FDY57,OUT027,2363.5
FDB21,OUT049,3615.2
FDE28,OUT017,2644.5
FDQ55,OUT017,4695.2
FDA48,OUT049,3547.3
FDZ19,OUT045,1379.5
NCC43,OUT045,4267.1
NCV18,OUT046,1025.3
NCA42,OUT018,1713.7
FDY45,OUT046,4210.5
NCC30,OUT045,2479.4
FDM57,OUT013,2080.6
FDL09,OUT010,671.12
FDB09,OUT027,5404.9
FDT44,OUT035,2396.8
NCT06,OUT027,3946.8
FDX26,OUT049,2006.7
FDK32,OUT013,1516
DRA12,OUT046,3528.7
FDO46,OUT010,945.43
FDE52,OUT013,703.08
NCH42,OUT045,1386.1
FDV08,OUT035,864.2
FDB47,OUT018,2508.7
FDC28,OUT010,111.18
FDD22,OUT046,3243.7
FDS07,OUT027,5404.9
DRI13,OUT045,1947.4
FDG32,OUT018,4225.1
FDU14,OUT017,4993.5
FDD28,OUT019,123.83
NCP41,OUT017,970.73
FDS08,OUT049,1764.3
FDX47,OUT045,3427.5
FDC53,OUT019,591.23
FDQ19,OUT035,969.4
FDL14,OUT045,1713.7
FDM33,OUT019,255.66
FDA51,OUT045,1958.1
FDZ27,OUT018,1012
FDT04,OUT046,809.61
DRC13,OUT049,2956.1
FDR16,OUT027,6817.7
FDQ03,OUT027,8028.8
FDE38,OUT035,2886.2
DRH23,OUT027,1677.8
FDT11,OUT019,579.24
FDD09,OUT035,2451.4
FDR40,OUT045,2255.7
FDX07,OUT017,1629.8
FDR07,OUT035,868.86
FDA51,OUT017,1958.1
FDT59,OUT019,689.1
FDF20,OUT017,2886.2
FDR13,OUT045,1274.3
FDY26,OUT049,7833.8
FDW04,OUT017,1311.6
FDK52,OUT017,6771.1
FDN60,OUT049,3739.1
FDM09,OUT019,875.52
FDP46,OUT049,1054.6
FDB50,OUT019,399.48
NCQ29,OUT049,2603.2
FDP16,OUT027,8063.5
FDX33,OUT018,1288.9
FDP07,OUT010,394.15
FDN22,OUT046,3060
FDF39,OUT049,1845.5
FDS21,OUT017,2192.4
NCM42,OUT013,958.75
FDK50,OUT019,167.78
DRF13,OUT027,3368.9
FDH35,OUT018,1151.1
FDP60,OUT018,2463.4
DRJ49,OUT027,2055.9
NCT42,OUT019,146.47
FDE38,OUT049,2886.2
FDI04,OUT049,5536.7
NCH54,OUT045,3010.7
FDT56,OUT049,2143.2
DRD15,OUT018,3020.7
FDV58,OUT013,1438.1
FDP21,OUT049,3529.4
FDH05,OUT013,2330.3
FDR10,OUT027,7503.5
NCP06,OUT045,2569.3
FDF33,OUT049,2049.3
DRK37,OUT013,4933.5
DRH49,OUT045,1860.2
FDT58,OUT013,2886.2
FDD41,OUT018,639.16
FDP40,OUT018,2460.7
FDM51,OUT027,2430.1
FDO45,OUT010,87.219
FDW33,OUT010,99.204
FDY24,OUT045,3002.7
FDB10,OUT010,468.72
FDM40,OUT035,1685.8
NCI06,OUT017,5033.4
FDW12,OUT019,145.14
FDX48,OUT027,3285.7
NCW05,OUT027,2964.1
FDX27,OUT017,1272.3
DRM37,OUT045,1970.7
FDA38,OUT045,3124.5
FDR36,OUT046,559.27
FDZ45,OUT046,5536.7
FDG05,OUT017,2659.8
FDK28,OUT013,5410.9
FDV47,OUT045,1775.6
FDN21,OUT045,3705.8
FDP20,OUT027,5404.9
FDI35,OUT045,3259.7
DRY23,OUT013,809.61
FDA56,OUT017,602.54
FDB09,OUT013,857.55
NCO26,OUT027,4952.8
FDQ49,OUT018,2190.4
FDI52,OUT027,2863.6
FDZ44,OUT027,5404.9
FDZ09,OUT018,3111.9
FDY03,OUT049,2348.9
NCG42,OUT017,1845.5
DRI13,OUT027,6964.9
FDQ32,OUT013,1981.4
FDW16,OUT035,1328.2
FDU27,OUT046,2109.2
FDR28,OUT010,296.94
FDQ49,OUT010,327.57
FDS37,OUT046,695.09
FDW26,OUT018,3113.2
FDX12,OUT018,3364.9
NCP06,OUT013,2428.8
FDW45,OUT010,291.62
NCN30,OUT049,1061.9
FDN24,OUT049,1078.5
NCL41,OUT027,671.12
FDR02,OUT019,345.55
FDD09,OUT010,360.86
FDS33,OUT010,170.44
FDU22,OUT045,2059.9
FDI53,OUT013,4586
DRH01,OUT049,2085.2
FDX32,OUT013,1574.6
NCP30,OUT018,942.77
FDB60,OUT045,2886.2
FDB14,OUT049,1304.9
NCP02,OUT035,2486.7
FDJ10,OUT017,1826.2
FDG34,OUT046,202.4
NCB18,OUT017,1427.4
FDM16,OUT049,2512.7
FDW25,OUT018,852.22
FDB35,OUT010,87.219
DRN11,OUT013,1596.5
FDF41,OUT019,460.73
FDH16,OUT045,808.94
NCQ50,OUT018,4701.8
DRH23,OUT018,1677.8
DRJ37,OUT013,2580.6
DRJ24,OUT027,7033.5
FDY16,OUT035,3146.5
FDQ27,OUT045,2889.5
FDZ33,OUT045,2217.1
FDF29,OUT045,908.81
FDA08,OUT049,3124.5
FDG31,OUT046,2518.7
FDE34,OUT019,185.75
NCR30,OUT027,1290.3
FDV33,OUT035,1808.3
DRZ24,OUT018,1583.9
NCL54,OUT035,3422.2
FDR12,OUT049,2233
NCC54,OUT046,1201.7
DRN59,OUT013,872.86
FDX50,OUT019,123.83
FDV31,OUT027,3175.8
NCA29,OUT027,7759.8
FDW60,OUT049,2999.4
FDX08,OUT017,1629.8
DRD49,OUT013,3813.7
FDD33,OUT046,5141.3
FDW35,OUT013,484.7
FDJ36,OUT017,1977.4
FDV51,OUT035,4769.1
FDW36,OUT046,2876.2
FDH35,OUT046,1644.5
NCS30,OUT027,1565.9
FDN49,OUT017,559.27
FDL08,OUT018,4655.2
FDI09,OUT013,5033.4
FDP19,OUT018,1761.7
FDU21,OUT010,173.1
NCP41,OUT045,1393.5
FDY10,OUT013,1717.7
FDP12,OUT018,898.83
NCN26,OUT049,703.08
FDK44,OUT013,347.54
FDC28,OUT049,1901.5
FDJ41,OUT027,8217.3
NCT29,OUT035,4042.7
NCH42,OUT019,459.4
FDU60,OUT018,3137.2
FDS02,OUT045,2458.1
FDC51,OUT046,4264.4
FDU03,OUT013,3504.1
FDX39,OUT045,3799
NCY05,OUT010,105.86
NCL06,OUT027,4504.8
FDD32,OUT035,1772.3
NCN41,OUT045,857.55
NCX53,OUT049,2360.9
FDU57,OUT019,155.13
FDQ23,OUT046,509.33
FDQ52,OUT045,5960.2
FDC14,OUT045,768.99
FDY09,OUT035,1593.9
FDQ28,OUT045,3089.3
FDV25,OUT046,6852.4
FDJ07,OUT035,1406.1
DRB25,OUT049,3751.7
FDK52,OUT019,790.97
FDY52,OUT027,1857.5
FDB28,OUT046,1182.4
FDT36,OUT035,988.04
FDV25,OUT017,5747.1
NCN07,OUT027,5404.9
FDC57,OUT017,1158.4
FDQ03,OUT018,3555.3
FDU23,OUT017,2863.6
NCX41,OUT035,631.17
NCD06,OUT035,2492.7
FDW08,OUT045,1384.8
NCU29,OUT017,3062
NCE06,OUT013,1288.9
FDV52,OUT010,117.84
FDB02,OUT017,2999.4
NCR18,OUT045,767
FDK16,OUT049,2856.2
NCQ29,OUT010,260.99
FDZ01,OUT019,203.73
FDW27,OUT035,3257.7
FDD17,OUT018,3327.6
FDW39,OUT013,2141.2
DRH59,OUT045,1290.3
FDS52,OUT013,1398.1
FDU40,OUT027,3163.8
NCF54,OUT013,1038.6
FDH46,OUT045,2255.7
NCP14,OUT049,3219.8
FDH50,OUT049,567.26
DRF15,OUT010,291.62
FDV27,OUT027,1845.5
NCJ06,OUT049,2059.9
FDN02,OUT018,2070.6
FDQ51,OUT049,1323.6
FDQ07,OUT017,3547.3
FDS45,OUT049,2889.5
NCJ06,OUT045,2059.9
FDD36,OUT035,1787.6
FDY25,OUT045,3078.6
FDU52,OUT046,3103.9
DRK47,OUT017,1826.9
NCL30,OUT017,2173.1
FDN22,OUT035,3271.7
NCF30,OUT027,4916.9
FDK03,OUT035,2013.3
FDT45,OUT017,2020
NCC54,OUT027,3297.7
FDP08,OUT018,3874.9
FDU44,OUT046,3629.2
DRG39,OUT035,1992.7
FDU32,OUT049,602.54
FDY27,OUT049,1593.9
NCP54,OUT013,1583.9
NCZ41,OUT049,1012
DRL49,OUT013,854.88
FDI05,OUT018,778.98
FDY56,OUT045,5642.6
DRC13,OUT013,2956.1
NCV29,OUT017,3896.2
FDR24,OUT049,878.85
FDZ34,OUT018,2466.7
FDP37,OUT035,2184.4
FDX08,OUT027,3056
FDS57,OUT045,2290.3
NCG18,OUT049,1845.5
FDK25,OUT018,5326.4
FDH53,OUT049,639.16
DRI59,OUT018,3001.4
FDA52,OUT046,3528.7
FDT20,OUT010,39.948
FDE36,OUT019,617.86
FDI24,OUT017,3175.8
FDB28,OUT018,3153.2
FDV11,OUT017,3528.7
FDP01,OUT046,3506.7
FDD34,OUT027,906.81
FDJ50,OUT027,717.73
FDZ44,OUT013,3115.9
DRO59,OUT035,2450.1
DRB48,OUT045,1296.3
FDR21,OUT018,5645.9
NCE42,OUT010,474.04
FDO23,OUT046,1032.6
NCE30,OUT018,637.17
FDQ22,OUT035,1543.3
FDY01,OUT045,1958.1
FDS08,OUT017,1764.3
FDG28,OUT018,1225
FDQ51,OUT018,1677.8
FDB05,OUT017,5410.9
FDO56,OUT049,2633.9
FDE02,OUT018,2371.5
FDN45,OUT017,1789.6
FDS09,OUT013,759.01
NCA54,OUT018,3428.2
FDP09,OUT010,422.11
FDC53,OUT045,607.2
NCM55,OUT017,2656.5
FDL09,OUT018,1174.4
FDA11,OUT019,185.09
FDA50,OUT045,1061.9
FDC23,OUT017,3803
FDE22,OUT049,1713.7
FDD23,OUT046,5238.5
NCA29,OUT049,2093.2
FDK38,OUT046,2524
DRC13,OUT046,2157.1
NCP43,OUT049,2336.9
FDX28,OUT049,978.72
FDF08,OUT049,2247
FDZ33,OUT046,1182.4
FDD10,OUT049,1070.6
FDO58,OUT017,2297
FDI50,OUT017,3435.5
FDO58,OUT045,2631.2
FDX08,OUT013,4134.6
NCK17,OUT010,41.945
FDF39,OUT035,10256
FDU45,OUT010,683.11
NCJ18,OUT018,691.1
DRC27,OUT019,246.34
DRC25,OUT035,2061.3
FDU59,OUT035,2094.6
FDU28,OUT035,4777.1
NCP30,OUT046,942.77
FDB39,OUT018,2020
FDE41,OUT013,1183.7
DRH11,OUT010,226.37
FDA58,OUT045,1414.1
FDU50,OUT046,671.12
FDM34,OUT013,1038.6
FDM44,OUT027,1018
FDR39,OUT045,2189.1
FDM25,OUT045,3528.7
FDQ49,OUT049,3928.2
DRH25,OUT018,607.87
FDM09,OUT027,3523.4
FDL44,OUT019,477.37
NCR42,OUT018,1281.6
DRL59,OUT046,607.87
FDX43,OUT013,3342.3
DRK47,OUT010,663.13
FDU48,OUT018,263.65
FDY12,OUT045,2290.3
NCN43,OUT018,3448.8
NCM55,OUT018,4777.7
FDQ21,OUT027,1211.7
FDX13,OUT035,2490
NCK30,OUT027,2607.2
FDG20,OUT049,1416.8
DRG27,OUT017,988.04
FDY14,OUT018,6608
FDP59,OUT035,2285
FDU60,OUT017,6426.3
NCC18,OUT019,517.32
DRJ39,OUT017,8323.8
FDS07,OUT049,3243.7
FDM08,OUT027,7158.6
FDP51,OUT045,2450.1
FDU16,OUT035,2432.8
FDH12,OUT013,2876.2
DRE48,OUT010,387.49
NCL42,OUT027,8262.5
FDR21,OUT045,3175.8
NCW29,OUT035,778.98
FDO11,OUT013,5153.2
NCM31,OUT049,1139.8
FDV35,OUT019,322.24
FDF58,OUT017,1201.7
NCE43,OUT049,3617.9
FDA02,OUT035,3307.6
DRL37,OUT010,131.82
FDR24,OUT018,1665.8
FDW59,OUT049,1073.2
FDS22,OUT049,1323.6
FDW24,OUT017,1992.7
FDU24,OUT035,1342.2
FDA21,OUT027,3715.1
FDH58,OUT027,2488.7
FDW36,OUT018,1715.1
FDI45,OUT027,5000.8
FDU01,OUT018,3861.6
FDF35,OUT027,4022.7
FDU43,OUT019,447.41
FDE24,OUT019,143.81
FDK50,OUT049,1779.6
FDG31,OUT045,958.75
FDC60,OUT045,2079.9
FDL36,OUT013,1617.8
FDP21,OUT013,3542
FDW16,OUT045,1328.2
FDX02,OUT017,4950.8
FDQ58,OUT027,906.81
FDT51,OUT046,1677.8
FDD59,OUT049,1038.6
NCM42,OUT018,2011.3
FDA57,OUT018,1358.2
FDZ48,OUT035,1565.9
FDE46,OUT045,1662.5
NCZ30,OUT019,253
FDB56,OUT017,3567.3
FDA25,OUT027,5093.3
FDD20,OUT013,2936.1
FDL25,OUT013,1561.9
NCO18,OUT049,2133.2
FDJ45,OUT017,1280.9
FDR12,OUT035,2759
NCF19,OUT010,90.548
FDK25,OUT046,4211.1
NCR17,OUT046,2085.2
FDC52,OUT046,2982.7
NCA54,OUT017,1977.4
FDR45,OUT010,486.03
NCM19,OUT049,2572.6
FDF39,OUT027,6474.2
FDX23,OUT049,378.17
FDD58,OUT027,2833.6
FDX28,OUT013,2463.4
NCD31,OUT013,990.71
FDU57,OUT018,2106.5
FDI27,OUT046,1211.7
NCM42,OUT046,2087.2
FDD32,OUT027,1885.5
FDI34,OUT013,3723.8
NCM29,OUT049,927.45
FDG46,OUT018,2732.4
DRC01,OUT010,155.79
FDB15,OUT027,7883
NCA17,OUT027,3728.4
FDF10,OUT046,4673.9
FDR26,OUT027,2854.9
FDI02,OUT049,3150.5
NCM54,OUT010,254.33
FDF14,OUT013,1491.3
FDJ33,OUT010,131.16
FDM20,OUT035,4655.2
FDC03,OUT027,7488.9
NCX05,OUT046,2548.6
NCM41,OUT027,4189.2
NCU29,OUT010,463.39
FDQ59,OUT017,1320.9
FDH46,OUT010,103.19
FDH09,OUT013,1298.3
